transaction_id,client_id,conversion_timestamp,revenue,first_click_source,first_click_medium,first_click_campaign,first_click_channel,last_click_source,last_click_medium,last_click_campaign,last_click_channel,touchpoint_count,days_to_convert,conversion_date
ORD-20250227-389,1739320691-_qd89fFOwigp,2025-02-27 20:31:33.839000+00:00,649.0,direct,none,,Direct,direct,none,,Direct,1,0,2025-02-27
ORD-20250226-158,1739571234-3McSv47Fx1Qm,2025-02-26 18:05:45.915000+00:00,649.0,google,cpc,google_ads,Paid Search,google,cpc,google_ads,Paid Search,2,1,2025-02-26
ORD-20250225-960,1739632959-3UuM3WM5LiF_,2025-02-25 02:38:54.286000+00:00,799.0,direct,none,,Direct,direct,none,,Direct,1,0,2025-02-25
ORD-20250303-193,1739654536-l0pMsprdf4K1,2025-03-03 13:45:40.870000+00:00,799.0,direct,none,,Direct,direct,none,,Direct,1,0,2025-03-03
ORD-20250228-326,1739661401-YhLQ3Wpa_2yc,2025-02-28 21:34:49.604000+00:00,649.0,direct,none,,Direct,direct,none,,Direct,1,0,2025-02-28
ORD-20250308-389,1739721571-5zHR-SPEGkZr,2025-03-08 23:16:08.807000+00:00,349.0,google,cpc,google_ads,Paid Search,direct,none,,Direct,2,0,2025-03-08
ORD-20250226-354,1739722963-bM9HXRvhLpzE,2025-02-26 23:59:48.039000+00:00,262.0,AF630F,7B4C8A,,Other,AF630F,7B4C8A,,Other,1,0,2025-02-26
ORD-20250304-556,1739746383-1E2Pdq8Hpsz6,2025-03-04 13:05:23.864000+00:00,0.0,direct,none,,Direct,direct,none,,Direct,1,0,2025-03-04
ORD-20250301-223,1739840232-Qa5gyk_Kwh5w,2025-03-01 15:30:26.676000+00:00,2449.0,BABF38,7B4C8A,423312,Other,C20151,DAFE40,C10E62,Other,2,1,2025-03-01
ORD-20250301-368,1739840232-Qa5gyk_Kwh5w,2025-03-01 15:40:37.769000+00:00,179.0,BABF38,7B4C8A,423312,Other,C20151,DAFE40,C10E62,Other,2,1,2025-03-01
ORD-20250307-344,1739840232-Qa5gyk_Kwh5w,2025-03-07 22:57:58.744000+00:00,262.0,C20151,DAFE40,C10E62,Other,direct,none,,Direct,3,6,2025-03-07
ORD-20250227-363,1739878658-VmIawT4Slalv,2025-02-27 17:42:11.044000+00:00,409.0,google,cpc,google_ads,Paid Search,google,organic,,Organic Search,6,1,2025-02-27
ORD-20250227-495,1739878658-VmIawT4Slalv,2025-02-27 17:44:23.803000+00:00,102.0,google,cpc,google_ads,Paid Search,google,organic,,Organic Search,6,1,2025-02-27
ORD-20250224-404,1739902113-HUVj8CdYF8It,2025-02-24 19:13:25.980000+00:00,1249.0,direct,none,,Direct,direct,none,,Direct,1,0,2025-02-24
ORD-20250224-346,1739925043-1AUsr0ad1DEH,2025-02-24 23:47:15.549000+00:00,3149.0,direct,none,,Direct,direct,none,,Direct,1,0,2025-02-24
ORD-20250304-558,1739975044-l6LWN5WR98MB,2025-03-04 03:14:47.935000+00:00,2249.0,direct,none,,Direct,direct,none,,Direct,1,0,2025-03-04
ORD-20250303-472,1739981017-J2pqbRgl8ICL,2025-03-03 19:08:18.292000+00:00,949.0,direct,none,,Direct,direct,none,,Direct,1,0,2025-03-03
ORD-20250227-404,1739985361-5ocesE28hJ3Z,2025-02-27 06:00:17.359000+00:00,128.0,358C98,7B4C8A,,Other,358C98,7B4C8A,,Other,1,0,2025-02-27
ORD-20250306-263,1740022230-wVcCreN5emU7,2025-03-06 04:19:40.147000+00:00,0.0,direct,none,,Direct,direct,none,,Direct,1,0,2025-03-06
ORD-20250224-298,1740153262-W9ba7W8Fyqbj,2025-02-24 20:36:50.936000+00:00,262.0,5DB016,9A780E,FECBE3,Other,5DB016,9A780E,FECBE3,Other,1,0,2025-02-24
ORD-20250301-109,1740178922-Jjc6iIt31tDe,2025-03-01 14:21:27.643000+00:00,1527.0,direct,none,,Direct,direct,none,,Direct,2,2,2025-03-01
ORD-20250223-393,1740227694-HVyCbgs6JGs1,2025-02-23 17:16:26.941000+00:00,307.0,direct,none,,Direct,direct,none,,Direct,1,0,2025-02-23
